session,fc,position,subject,experiment,menu,choice
180920_1007,0,15,nfc-2018-09-20-14,2,"Ca,So,Sa",Ca
180920_1007,0,16,nfc-2018-09-20-14,2,"Ca,Pa,Hi",Pa
180920_1007,0,17,nfc-2018-09-20-14,2,"Ca,So,Pa",Pa
180920_1007,0,18,nfc-2018-09-20-14,2,"Sa,Hi",
180920_1007,0,19,nfc-2018-09-20-14,2,"So,Sa,Hi",
180920_1007,0,20,nfc-2018-09-20-14,2,"Ca,So,Pa,Sa,Hi",Pa
180920_1007,0,21,nfc-2018-09-20-14,2,"So,Pa,Sa",Pa
180920_1007,0,22,nfc-2018-09-20-14,2,"So,Pa,Sa,Hi",Pa
180920_1007,0,23,nfc-2018-09-20-14,2,"Ca,Hi",Ca
180920_1007,0,24,nfc-2018-09-20-14,2,"Ca,So,Pa,Sa",Pa
180920_1007,0,25,nfc-2018-09-20-14,2,"Pa,Sa",Pa
180920_1007,0,26,nfc-2018-09-20-14,2,"Ca,Pa",Pa
180920_1007,0,1,nfc-2018-09-20-15,2,"So,Pa",Pa
180920_1007,0,2,nfc-2018-09-20-15,2,"Ca,So,Pa,Hi",Pa
180920_1007,0,3,nfc-2018-09-20-15,2,"So,Sa",So
180920_1007,0,4,nfc-2018-09-20-15,2,"Ca,Sa,Hi",
180920_1007,0,5,nfc-2018-09-20-15,2,"So,Hi",So
180920_1007,0,6,nfc-2018-09-20-15,2,"Pa,Sa,Hi",Pa
180920_1007,0,7,nfc-2018-09-20-15,2,"So,Pa,Hi",Pa
180920_1007,0,8,nfc-2018-09-20-15,2,"Ca,So",
180920_1007,0,9,nfc-2018-09-20-15,2,"Ca,So,Hi",
180920_1007,0,10,nfc-2018-09-20-15,2,"Ca,So,Sa,Hi",
180920_1007,0,11,nfc-2018-09-20-15,2,"Ca,Pa,Sa,Hi",Pa
180920_1007,0,12,nfc-2018-09-20-15,2,"Ca,Sa",
180920_1007,0,13,nfc-2018-09-20-15,2,"Ca,Pa,Sa",Pa
180920_1007,0,14,nfc-2018-09-20-15,2,"Pa,Hi",Pa
180920_1007,0,15,nfc-2018-09-20-15,2,"Ca,So,Sa",
180920_1007,0,16,nfc-2018-09-20-15,2,"Ca,Pa,Hi",Pa
180920_1007,0,17,nfc-2018-09-20-15,2,"Ca,So,Pa",Pa
180920_1007,0,18,nfc-2018-09-20-15,2,"Sa,Hi",
180920_1007,0,19,nfc-2018-09-20-15,2,"So,Sa,Hi",
180920_1007,0,20,nfc-2018-09-20-15,2,"Ca,So,Pa,Sa,Hi",Pa
180920_1007,0,21,nfc-2018-09-20-15,2,"So,Pa,Sa",Pa
180920_1007,0,22,nfc-2018-09-20-15,2,"So,Pa,Sa,Hi",Pa
180920_1007,0,23,nfc-2018-09-20-15,2,"Ca,Hi",
180920_1007,0,24,nfc-2018-09-20-15,2,"Ca,So,Pa,Sa",Pa
180920_1007,0,25,nfc-2018-09-20-15,2,"Pa,Sa",Pa
180920_1007,0,26,nfc-2018-09-20-15,2,"Ca,Pa",Pa
180920_1007,0,1,nfc-2018-09-20-16,2,"So,Pa",
180920_1007,0,2,nfc-2018-09-20-16,2,"Ca,So,Pa,Hi",Pa
180920_1007,0,3,nfc-2018-09-20-16,2,"So,Sa",Sa
180920_1007,0,4,nfc-2018-09-20-16,2,"Ca,Sa,Hi",
180920_1007,0,5,nfc-2018-09-20-16,2,"So,Hi",
180920_1007,0,6,nfc-2018-09-20-16,2,"Pa,Sa,Hi",Pa
180920_1007,0,7,nfc-2018-09-20-16,2,"So,Pa,Hi",
180920_1007,0,8,nfc-2018-09-20-16,2,"Ca,So",
180920_1007,0,9,nfc-2018-09-20-16,2,"Ca,So,Hi",
180920_1007,0,10,nfc-2018-09-20-16,2,"Ca,So,Sa,Hi",Hi
180920_1007,0,11,nfc-2018-09-20-16,2,"Ca,Pa,Sa,Hi",Pa
180920_1007,0,12,nfc-2018-09-20-16,2,"Ca,Sa",Sa
180920_1007,0,13,nfc-2018-09-20-16,2,"Ca,Pa,Sa",Pa
180920_1007,0,14,nfc-2018-09-20-16,2,"Pa,Hi",Pa
180920_1007,0,15,nfc-2018-09-20-16,2,"Ca,So,Sa",
180920_1007,0,16,nfc-2018-09-20-16,2,"Ca,Pa,Hi",Pa
180920_1007,0,17,nfc-2018-09-20-16,2,"Ca,So,Pa",Pa
180920_1007,0,18,nfc-2018-09-20-16,2,"Sa,Hi",
180920_1007,0,19,nfc-2018-09-20-16,2,"So,Sa,Hi",
180920_1007,0,20,nfc-2018-09-20-16,2,"Ca,So,Pa,Sa,Hi",Pa
180920_1007,0,21,nfc-2018-09-20-16,2,"So,Pa,Sa",Pa
180920_1007,0,22,nfc-2018-09-20-16,2,"So,Pa,Sa,Hi",Pa
180920_1007,0,23,nfc-2018-09-20-16,2,"Ca,Hi",
180920_1007,0,24,nfc-2018-09-20-16,2,"Ca,So,Pa,Sa",Pa
180920_1007,0,25,nfc-2018-09-20-16,2,"Pa,Sa",Pa
180920_1007,0,26,nfc-2018-09-20-16,2,"Ca,Pa",Pa
180920_1007,0,1,nfc-2018-09-20-17,2,"So,Pa",
180920_1007,0,2,nfc-2018-09-20-17,2,"Ca,So,Pa,Hi",
180920_1007,0,3,nfc-2018-09-20-17,2,"So,Sa",
180920_1007,0,4,nfc-2018-09-20-17,2,"Ca,Sa,Hi",
180920_1007,0,5,nfc-2018-09-20-17,2,"So,Hi",
180920_1007,0,6,nfc-2018-09-20-17,2,"Pa,Sa,Hi",
180920_1007,0,7,nfc-2018-09-20-17,2,"So,Pa,Hi",
180920_1007,0,8,nfc-2018-09-20-17,2,"Ca,So",
180920_1007,0,9,nfc-2018-09-20-17,2,"Ca,So,Hi",
180920_1007,0,10,nfc-2018-09-20-17,2,"Ca,So,Sa,Hi",
180920_1007,0,11,nfc-2018-09-20-17,2,"Ca,Pa,Sa,Hi",
180920_1007,0,12,nfc-2018-09-20-17,2,"Ca,Sa",
180920_1007,0,13,nfc-2018-09-20-17,2,"Ca,Pa,Sa",
180920_1007,0,14,nfc-2018-09-20-17,2,"Pa,Hi",
180920_1007,0,15,nfc-2018-09-20-17,2,"Ca,So,Sa",
180920_1007,0,16,nfc-2018-09-20-17,2,"Ca,Pa,Hi",
180920_1007,0,17,nfc-2018-09-20-17,2,"Ca,So,Pa",
180920_1007,0,18,nfc-2018-09-20-17,2,"Sa,Hi",Sa
180920_1007,0,19,nfc-2018-09-20-17,2,"So,Sa,Hi",
180920_1007,0,20,nfc-2018-09-20-17,2,"Ca,So,Pa,Sa,Hi",
180920_1007,0,21,nfc-2018-09-20-17,2,"So,Pa,Sa",
180920_1007,0,22,nfc-2018-09-20-17,2,"So,Pa,Sa,Hi",
180920_1007,0,23,nfc-2018-09-20-17,2,"Ca,Hi",
180920_1007,0,24,nfc-2018-09-20-17,2,"Ca,So,Pa,Sa",
180920_1007,0,25,nfc-2018-09-20-17,2,"Pa,Sa",Sa
180920_1007,0,26,nfc-2018-09-20-17,2,"Ca,Pa",
180920_1007,0,1,nfc-2018-09-20-18,2,"So,Pa",Pa
180920_1007,0,2,nfc-2018-09-20-18,2,"Ca,So,Pa,Hi",Hi
180920_1007,0,3,nfc-2018-09-20-18,2,"So,Sa",Sa
180920_1007,0,4,nfc-2018-09-20-18,2,"Ca,Sa,Hi",Hi
180920_1007,0,5,nfc-2018-09-20-18,2,"So,Hi",Hi
180920_1007,0,6,nfc-2018-09-20-18,2,"Pa,Sa,Hi",Hi
180920_1007,0,7,nfc-2018-09-20-18,2,"So,Pa,Hi",Hi
180920_1007,0,8,nfc-2018-09-20-18,2,"Ca,So",So
180920_1007,0,9,nfc-2018-09-20-18,2,"Ca,So,Hi",Hi
180920_1007,0,10,nfc-2018-09-20-18,2,"Ca,So,Sa,Hi",Hi
180920_1007,0,11,nfc-2018-09-20-18,2,"Ca,Pa,Sa,Hi",Hi
180920_1007,0,12,nfc-2018-09-20-18,2,"Ca,Sa",Sa
180920_1007,0,13,nfc-2018-09-20-18,2,"Ca,Pa,Sa",Pa
180920_1007,0,14,nfc-2018-09-20-18,2,"Pa,Hi",Hi
180920_1007,0,15,nfc-2018-09-20-18,2,"Ca,So,Sa",Sa
180920_1007,0,16,nfc-2018-09-20-18,2,"Ca,Pa,Hi",Hi
180920_1007,0,17,nfc-2018-09-20-18,2,"Ca,So,Pa",Pa
180920_1007,0,18,nfc-2018-09-20-18,2,"Sa,Hi",Hi
180920_1007,0,19,nfc-2018-09-20-18,2,"So,Sa,Hi",Hi
180920_1007,0,20,nfc-2018-09-20-18,2,"Ca,So,Pa,Sa,Hi",Hi
180920_1007,0,21,nfc-2018-09-20-18,2,"So,Pa,Sa",Pa
180920_1007,0,22,nfc-2018-09-20-18,2,"So,Pa,Sa,Hi",Hi
180920_1007,0,23,nfc-2018-09-20-18,2,"Ca,Hi",Hi
180920_1007,0,24,nfc-2018-09-20-18,2,"Ca,So,Pa,Sa",Pa
180920_1007,0,25,nfc-2018-09-20-18,2,"Pa,Sa",Pa
180920_1007,0,26,nfc-2018-09-20-18,2,"Ca,Pa",Pa
180920_1007,0,1,nfc-2018-09-20-19,2,"So,Pa",
180920_1007,0,2,nfc-2018-09-20-19,2,"Ca,So,Pa,Hi",Ca
180920_1007,0,3,nfc-2018-09-20-19,2,"So,Sa",
180920_1007,0,4,nfc-2018-09-20-19,2,"Ca,Sa,Hi",Ca
180920_1007,0,5,nfc-2018-09-20-19,2,"So,Hi",
180920_1007,0,6,nfc-2018-09-20-19,2,"Pa,Sa,Hi",Sa
180920_1007,0,7,nfc-2018-09-20-19,2,"So,Pa,Hi",
180920_1007,0,8,nfc-2018-09-20-19,2,"Ca,So",Ca
180920_1007,0,9,nfc-2018-09-20-19,2,"Ca,So,Hi",Ca
180920_1007,0,10,nfc-2018-09-20-19,2,"Ca,So,Sa,Hi",Ca
180920_1007,0,11,nfc-2018-09-20-19,2,"Ca,Pa,Sa,Hi",Ca
180920_1007,0,12,nfc-2018-09-20-19,2,"Ca,Sa",Ca
180920_1007,0,13,nfc-2018-09-20-19,2,"Ca,Pa,Sa",Ca
180920_1007,0,14,nfc-2018-09-20-19,2,"Pa,Hi",Hi
180920_1007,0,15,nfc-2018-09-20-19,2,"Ca,So,Sa",Ca
180920_1007,0,16,nfc-2018-09-20-19,2,"Ca,Pa,Hi",Ca
180920_1007,0,17,nfc-2018-09-20-19,2,"Ca,So,Pa",Ca
180920_1007,0,18,nfc-2018-09-20-19,2,"Sa,Hi",Sa
180920_1007,0,19,nfc-2018-09-20-19,2,"So,Sa,Hi",Sa
180920_1007,0,20,nfc-2018-09-20-19,2,"Ca,So,Pa,Sa,Hi",Ca
180920_1007,0,21,nfc-2018-09-20-19,2,"So,Pa,Sa",Sa
180920_1007,0,22,nfc-2018-09-20-19,2,"So,Pa,Sa,Hi",Sa
180920_1007,0,23,nfc-2018-09-20-19,2,"Ca,Hi",Ca
180920_1007,0,24,nfc-2018-09-20-19,2,"Ca,So,Pa,Sa",Ca
180920_1007,0,25,nfc-2018-09-20-19,2,"Pa,Sa",Sa
180920_1007,0,26,nfc-2018-09-20-19,2,"Ca,Pa",Ca
180920_1007,0,1,nfc-2018-09-20-20,2,"So,Pa",So
180920_1007,0,2,nfc-2018-09-20-20,2,"Ca,So,Pa,Hi",So
180920_1007,0,3,nfc-2018-09-20-20,2,"So,Sa",Sa
180920_1007,0,4,nfc-2018-09-20-20,2,"Ca,Sa,Hi",Sa
180920_1007,0,5,nfc-2018-09-20-20,2,"So,Hi",So
180920_1007,0,6,nfc-2018-09-20-20,2,"Pa,Sa,Hi",Sa
180920_1007,0,7,nfc-2018-09-20-20,2,"So,Pa,Hi",So
180920_1007,0,8,nfc-2018-09-20-20,2,"Ca,So",So
180920_1007,0,9,nfc-2018-09-20-20,2,"Ca,So,Hi",So
180920_1007,0,10,nfc-2018-09-20-20,2,"Ca,So,Sa,Hi",Sa
180920_1007,0,11,nfc-2018-09-20-20,2,"Ca,Pa,Sa,Hi",Sa
180920_1007,0,12,nfc-2018-09-20-20,2,"Ca,Sa",Sa
180920_1007,0,13,nfc-2018-09-20-20,2,"Ca,Pa,Sa",Sa
180920_1007,0,14,nfc-2018-09-20-20,2,"Pa,Hi",Hi
180920_1007,0,15,nfc-2018-09-20-20,2,"Ca,So,Sa",Sa
180920_1007,0,16,nfc-2018-09-20-20,2,"Ca,Pa,Hi",Hi
180920_1007,0,17,nfc-2018-09-20-20,2,"Ca,So,Pa",So
180920_1007,0,18,nfc-2018-09-20-20,2,"Sa,Hi",Sa
180920_1007,0,19,nfc-2018-09-20-20,2,"So,Sa,Hi",Sa
180920_1007,0,20,nfc-2018-09-20-20,2,"Ca,So,Pa,Sa,Hi",Sa
180920_1007,0,21,nfc-2018-09-20-20,2,"So,Pa,Sa",Sa
180920_1007,0,22,nfc-2018-09-20-20,2,"So,Pa,Sa,Hi",Sa
180920_1007,0,23,nfc-2018-09-20-20,2,"Ca,Hi",Hi
180920_1007,0,24,nfc-2018-09-20-20,2,"Ca,So,Pa,Sa",Sa
180920_1007,0,25,nfc-2018-09-20-20,2,"Pa,Sa",Sa
180920_1007,0,26,nfc-2018-09-20-20,2,"Ca,Pa",Ca
180920_1007,0,1,nfc-2018-09-20-21,2,"So,Pa",Pa
180920_1007,0,2,nfc-2018-09-20-21,2,"Ca,So,Pa,Hi",Pa
180920_1007,0,3,nfc-2018-09-20-21,2,"So,Sa",Sa
180920_1007,0,4,nfc-2018-09-20-21,2,"Ca,Sa,Hi",Sa
180920_1007,0,5,nfc-2018-09-20-21,2,"So,Hi",So
180920_1007,0,6,nfc-2018-09-20-21,2,"Pa,Sa,Hi",Sa
180920_1007,0,7,nfc-2018-09-20-21,2,"So,Pa,Hi",Pa
180920_1007,0,8,nfc-2018-09-20-21,2,"Ca,So",So
180920_1007,0,9,nfc-2018-09-20-21,2,"Ca,So,Hi",So
180920_1007,0,10,nfc-2018-09-20-21,2,"Ca,So,Sa,Hi",Sa
180920_1007,0,11,nfc-2018-09-20-21,2,"Ca,Pa,Sa,Hi",Sa
180920_1007,0,12,nfc-2018-09-20-21,2,"Ca,Sa",Sa
180920_1007,0,13,nfc-2018-09-20-21,2,"Ca,Pa,Sa",Sa
180920_1007,0,14,nfc-2018-09-20-21,2,"Pa,Hi",Pa
180920_1007,0,15,nfc-2018-09-20-21,2,"Ca,So,Sa",Sa
180920_1007,0,16,nfc-2018-09-20-21,2,"Ca,Pa,Hi",Pa
180920_1007,0,17,nfc-2018-09-20-21,2,"Ca,So,Pa",Pa
180920_1007,0,18,nfc-2018-09-20-21,2,"Sa,Hi",Sa
180920_1007,0,19,nfc-2018-09-20-21,2,"So,Sa,Hi",Sa
180920_1007,0,20,nfc-2018-09-20-21,2,"Ca,So,Pa,Sa,Hi",Sa
180920_1007,0,21,nfc-2018-09-20-21,2,"So,Pa,Sa",Sa
180920_1007,0,22,nfc-2018-09-20-21,2,"So,Pa,Sa,Hi",Sa
180920_1007,0,23,nfc-2018-09-20-21,2,"Ca,Hi",Hi
180920_1007,0,24,nfc-2018-09-20-21,2,"Ca,So,Pa,Sa",Sa
180920_1007,0,25,nfc-2018-09-20-21,2,"Pa,Sa",Sa
180920_1007,0,26,nfc-2018-09-20-21,2,"Ca,Pa",Pa
180920_1007,0,1,nfc-2018-09-20-22,2,"So,Pa",So
180920_1007,0,2,nfc-2018-09-20-22,2,"Ca,So,Pa,Hi",So
180920_1007,0,3,nfc-2018-09-20-22,2,"So,Sa",So
180920_1007,0,4,nfc-2018-09-20-22,2,"Ca,Sa,Hi",Ca
180920_1007,0,5,nfc-2018-09-20-22,2,"So,Hi",So
180920_1007,0,6,nfc-2018-09-20-22,2,"Pa,Sa,Hi",Sa
180920_1007,0,7,nfc-2018-09-20-22,2,"So,Pa,Hi",So
180920_1007,0,8,nfc-2018-09-20-22,2,"Ca,So",So
180920_1007,0,9,nfc-2018-09-20-22,2,"Ca,So,Hi",So
180920_1007,0,10,nfc-2018-09-20-22,2,"Ca,So,Sa,Hi",So
180920_1007,0,11,nfc-2018-09-20-22,2,"Ca,Pa,Sa,Hi",Ca
180920_1007,0,12,nfc-2018-09-20-22,2,"Ca,Sa",Ca
180920_1007,0,13,nfc-2018-09-20-22,2,"Ca,Pa,Sa",Ca
180920_1007,0,14,nfc-2018-09-20-22,2,"Pa,Hi",Pa
180920_1007,0,15,nfc-2018-09-20-22,2,"Ca,So,Sa",So
180920_1007,0,16,nfc-2018-09-20-22,2,"Ca,Pa,Hi",Ca
180920_1007,0,17,nfc-2018-09-20-22,2,"Ca,So,Pa",So
180920_1007,0,18,nfc-2018-09-20-22,2,"Sa,Hi",Sa
180920_1007,0,19,nfc-2018-09-20-22,2,"So,Sa,Hi",So
180920_1007,0,20,nfc-2018-09-20-22,2,"Ca,So,Pa,Sa,Hi",So
180920_1007,0,21,nfc-2018-09-20-22,2,"So,Pa,Sa",So
180920_1007,0,22,nfc-2018-09-20-22,2,"So,Pa,Sa,Hi",So
180920_1007,0,23,nfc-2018-09-20-22,2,"Ca,Hi",Ca
180920_1007,0,24,nfc-2018-09-20-22,2,"Ca,So,Pa,Sa",So
180920_1007,0,25,nfc-2018-09-20-22,2,"Pa,Sa",Sa
180920_1007,0,26,nfc-2018-09-20-22,2,"Ca,Pa",Ca
180921_1002,0,1,nfc-2018-09-21-1-1,2,"Ca,Pa,Sa",Sa
180921_1002,0,2,nfc-2018-09-21-1-1,2,"Ca,Sa",Sa
180921_1002,0,3,nfc-2018-09-21-1-1,2,"Ca,So,Pa",Pa
180921_1002,0,4,nfc-2018-09-21-1-1,2,"So,Pa,Sa",Sa
180921_1002,0,5,nfc-2018-09-21-1-1,2,"Ca,So,Sa",Sa
180921_1002,0,6,nfc-2018-09-21-1-1,2,"Pa,Sa",Sa
180921_1002,0,7,nfc-2018-09-21-1-1,2,"Pa,Sa,Hi",Hi
180921_1002,0,8,nfc-2018-09-21-1-1,2,"So,Sa,Hi",Hi
180921_1002,0,9,nfc-2018-09-21-1-1,2,"Ca,So,Pa,Sa",Sa
180921_1002,0,10,nfc-2018-09-21-1-1,2,"So,Pa",Pa
180921_1002,0,11,nfc-2018-09-21-1-1,2,"Ca,So,Sa,Hi",Sa
180921_1002,0,12,nfc-2018-09-21-1-1,2,"Ca,So",So
180921_1002,0,13,nfc-2018-09-21-1-1,2,"Ca,Pa",Pa
180921_1002,0,14,nfc-2018-09-21-1-1,2,"Sa,Hi",Sa
180921_1002,0,15,nfc-2018-09-21-1-1,2,"So,Sa",Sa
180921_1002,0,16,nfc-2018-09-21-1-1,2,"Ca,Hi",Hi
180921_1002,0,17,nfc-2018-09-21-1-1,2,"So,Pa,Sa,Hi",Pa
180921_1002,0,18,nfc-2018-09-21-1-1,2,"Ca,So,Pa,Hi",Pa
180921_1002,0,19,nfc-2018-09-21-1-1,2,"Ca,So,Pa,Sa,Hi",Sa
180921_1002,0,20,nfc-2018-09-21-1-1,2,"Pa,Hi",Pa
180921_1002,0,21,nfc-2018-09-21-1-1,2,"Ca,Pa,Sa,Hi",Sa
180921_1002,0,22,nfc-2018-09-21-1-1,2,"Ca,Sa,Hi",Sa
180921_1002,0,23,nfc-2018-09-21-1-1,2,"So,Pa,Hi",Pa
180921_1002,0,24,nfc-2018-09-21-1-1,2,"So,Hi",Hi
180921_1002,0,25,nfc-2018-09-21-1-1,2,"Ca,Pa,Hi",Pa
180921_1002,0,26,nfc-2018-09-21-1-1,2,"Ca,So,Hi",So
180921_1002,0,1,nfc-2018-09-21-1-2,2,"Ca,Pa,Sa",Ca
180921_1002,0,2,nfc-2018-09-21-1-2,2,"Ca,Sa",Ca
180921_1002,0,3,nfc-2018-09-21-1-2,2,"Ca,So,Pa",Ca
180921_1002,0,4,nfc-2018-09-21-1-2,2,"So,Pa,Sa",Pa
180921_1002,0,5,nfc-2018-09-21-1-2,2,"Ca,So,Sa",Ca
180921_1002,0,6,nfc-2018-09-21-1-2,2,"Pa,Sa",
180921_1002,0,7,nfc-2018-09-21-1-2,2,"Pa,Sa,Hi",Pa
180921_1002,0,8,nfc-2018-09-21-1-2,2,"So,Sa,Hi",So
180921_1002,0,9,nfc-2018-09-21-1-2,2,"Ca,So,Pa,Sa",Ca
180921_1002,0,10,nfc-2018-09-21-1-2,2,"So,Pa",
180921_1002,0,11,nfc-2018-09-21-1-2,2,"Ca,So,Sa,Hi",Ca
180921_1002,0,12,nfc-2018-09-21-1-2,2,"Ca,So",Ca
180921_1002,0,13,nfc-2018-09-21-1-2,2,"Ca,Pa",Ca
180921_1002,0,14,nfc-2018-09-21-1-2,2,"Sa,Hi",
180921_1002,0,15,nfc-2018-09-21-1-2,2,"So,Sa",
180921_1002,0,16,nfc-2018-09-21-1-2,2,"Ca,Hi",Ca
180921_1002,0,17,nfc-2018-09-21-1-2,2,"So,Pa,Sa,Hi",
180921_1002,0,18,nfc-2018-09-21-1-2,2,"Ca,So,Pa,Hi",Ca
180921_1002,0,19,nfc-2018-09-21-1-2,2,"Ca,So,Pa,Sa,Hi",Ca
180921_1002,0,20,nfc-2018-09-21-1-2,2,"Pa,Hi",
180921_1002,0,21,nfc-2018-09-21-1-2,2,"Ca,Pa,Sa,Hi",Ca
180921_1002,0,22,nfc-2018-09-21-1-2,2,"Ca,Sa,Hi",Ca
180921_1002,0,23,nfc-2018-09-21-1-2,2,"So,Pa,Hi",
180921_1002,0,24,nfc-2018-09-21-1-2,2,"So,Hi",
180921_1002,0,25,nfc-2018-09-21-1-2,2,"Ca,Pa,Hi",Ca
180921_1002,0,26,nfc-2018-09-21-1-2,2,"Ca,So,Hi",Ca
180921_1002,0,1,nfc-2018-09-21-1-3,2,"Ca,Pa,Sa",
180921_1002,0,2,nfc-2018-09-21-1-3,2,"Ca,Sa",Sa
180921_1002,0,3,nfc-2018-09-21-1-3,2,"Ca,So,Pa",Pa
180921_1002,0,4,nfc-2018-09-21-1-3,2,"So,Pa,Sa",Sa
180921_1002,0,5,nfc-2018-09-21-1-3,2,"Ca,So,Sa",Sa
180921_1002,0,6,nfc-2018-09-21-1-3,2,"Pa,Sa",Sa
180921_1002,0,7,nfc-2018-09-21-1-3,2,"Pa,Sa,Hi",Hi
180921_1002,0,8,nfc-2018-09-21-1-3,2,"So,Sa,Hi",Hi
180921_1002,0,9,nfc-2018-09-21-1-3,2,"Ca,So,Pa,Sa",Pa
180921_1002,0,10,nfc-2018-09-21-1-3,2,"So,Pa",Pa
180921_1002,0,11,nfc-2018-09-21-1-3,2,"Ca,So,Sa,Hi",Hi
180921_1002,0,12,nfc-2018-09-21-1-3,2,"Ca,So",Ca
180921_1002,0,13,nfc-2018-09-21-1-3,2,"Ca,Pa",Pa
180921_1002,0,14,nfc-2018-09-21-1-3,2,"Sa,Hi",Hi
180921_1002,0,15,nfc-2018-09-21-1-3,2,"So,Sa",Sa
180921_1002,0,16,nfc-2018-09-21-1-3,2,"Ca,Hi",Hi
180921_1002,0,17,nfc-2018-09-21-1-3,2,"So,Pa,Sa,Hi",Hi
180921_1002,0,18,nfc-2018-09-21-1-3,2,"Ca,So,Pa,Hi",Hi
180921_1002,0,19,nfc-2018-09-21-1-3,2,"Ca,So,Pa,Sa,Hi",Hi
180921_1002,0,20,nfc-2018-09-21-1-3,2,"Pa,Hi",Hi
180921_1002,0,21,nfc-2018-09-21-1-3,2,"Ca,Pa,Sa,Hi",Hi
180921_1002,0,22,nfc-2018-09-21-1-3,2,"Ca,Sa,Hi",Hi
180921_1002,0,23,nfc-2018-09-21-1-3,2,"So,Pa,Hi",Hi
180921_1002,0,24,nfc-2018-09-21-1-3,2,"So,Hi",Hi
180921_1002,0,25,nfc-2018-09-21-1-3,2,"Ca,Pa,Hi",Hi
180921_1002,0,26,nfc-2018-09-21-1-3,2,"Ca,So,Hi",Hi
180921_1002,0,1,nfc-2018-09-21-1-4,2,"Ca,Pa,Sa",Ca
180921_1002,0,2,nfc-2018-09-21-1-4,2,"Ca,Sa",Ca
180921_1002,0,3,nfc-2018-09-21-1-4,2,"Ca,So,Pa",Ca
180921_1002,0,4,nfc-2018-09-21-1-4,2,"So,Pa,Sa",Sa
180921_1002,0,5,nfc-2018-09-21-1-4,2,"Ca,So,Sa",Ca
180921_1002,0,6,nfc-2018-09-21-1-4,2,"Pa,Sa",Sa
180921_1002,0,7,nfc-2018-09-21-1-4,2,"Pa,Sa,Hi",Sa
180921_1002,0,8,nfc-2018-09-21-1-4,2,"So,Sa,Hi",Sa
180921_1002,0,9,nfc-2018-09-21-1-4,2,"Ca,So,Pa,Sa",Ca
180921_1002,0,10,nfc-2018-09-21-1-4,2,"So,Pa",Pa
180921_1002,0,11,nfc-2018-09-21-1-4,2,"Ca,So,Sa,Hi",Ca
180921_1002,0,12,nfc-2018-09-21-1-4,2,"Ca,So",Ca
180921_1002,0,13,nfc-2018-09-21-1-4,2,"Ca,Pa",Ca
180921_1002,0,14,nfc-2018-09-21-1-4,2,"Sa,Hi",Sa
180921_1002,0,15,nfc-2018-09-21-1-4,2,"So,Sa",Sa
180921_1002,0,16,nfc-2018-09-21-1-4,2,"Ca,Hi",Ca
180921_1002,0,17,nfc-2018-09-21-1-4,2,"So,Pa,Sa,Hi",Sa
180921_1002,0,18,nfc-2018-09-21-1-4,2,"Ca,So,Pa,Hi",Ca
180921_1002,0,19,nfc-2018-09-21-1-4,2,"Ca,So,Pa,Sa,Hi",Ca
180921_1002,0,20,nfc-2018-09-21-1-4,2,"Pa,Hi",Pa
180921_1002,0,21,nfc-2018-09-21-1-4,2,"Ca,Pa,Sa,Hi",Ca
180921_1002,0,22,nfc-2018-09-21-1-4,2,"Ca,Sa,Hi",Ca
180921_1002,0,23,nfc-2018-09-21-1-4,2,"So,Pa,Hi",Pa
180921_1002,0,24,nfc-2018-09-21-1-4,2,"So,Hi",So
180921_1002,0,25,nfc-2018-09-21-1-4,2,"Ca,Pa,Hi",Ca
180921_1002,0,26,nfc-2018-09-21-1-4,2,"Ca,So,Hi",Ca
180921_1002,0,1,nfc-2018-09-21-1-5,2,"Ca,Pa,Sa",
180921_1002,0,2,nfc-2018-09-21-1-5,2,"Ca,Sa",
180921_1002,0,3,nfc-2018-09-21-1-5,2,"Ca,So,Pa",
180921_1002,0,4,nfc-2018-09-21-1-5,2,"So,Pa,Sa",
180921_1002,0,5,nfc-2018-09-21-1-5,2,"Ca,So,Sa",
180921_1002,0,6,nfc-2018-09-21-1-5,2,"Pa,Sa",
180921_1002,0,7,nfc-2018-09-21-1-5,2,"Pa,Sa,Hi",Sa
180921_1002,0,8,nfc-2018-09-21-1-5,2,"So,Sa,Hi",Sa
180921_1002,0,9,nfc-2018-09-21-1-5,2,"Ca,So,Pa,Sa",Sa
180921_1002,0,10,nfc-2018-09-21-1-5,2,"So,Pa",
180921_1002,0,11,nfc-2018-09-21-1-5,2,"Ca,So,Sa,Hi",Sa
180921_1002,0,12,nfc-2018-09-21-1-5,2,"Ca,So",
180921_1002,0,13,nfc-2018-09-21-1-5,2,"Ca,Pa",
180921_1002,0,14,nfc-2018-09-21-1-5,2,"Sa,Hi",Sa
180921_1002,0,15,nfc-2018-09-21-1-5,2,"So,Sa",Sa
180921_1002,0,16,nfc-2018-09-21-1-5,2,"Ca,Hi",
180921_1002,0,17,nfc-2018-09-21-1-5,2,"So,Pa,Sa,Hi",Sa
180921_1002,0,18,nfc-2018-09-21-1-5,2,"Ca,So,Pa,Hi",Ca
180921_1002,0,19,nfc-2018-09-21-1-5,2,"Ca,So,Pa,Sa,Hi",Sa
180921_1002,0,20,nfc-2018-09-21-1-5,2,"Pa,Hi",
180921_1002,0,21,nfc-2018-09-21-1-5,2,"Ca,Pa,Sa,Hi",Sa
180921_1002,0,22,nfc-2018-09-21-1-5,2,"Ca,Sa,Hi",Sa
